Atatürk Kitaplığı No.,Year,Month,Day,Paper,Page,Title,OCR,Notes
152/17,1951,6,15,Ulus,"1,7",Londra'da Türk gazetecileriyle bir toplanti: Pakta alınmamaız meselesinde İngiltere'nin görüşü açıklandı,,SNS confirmed files OK 6/7/16
152/17,1951,6,16,Ulus,2,"İngiltere'nin Türkiye siyaseti: Londra, Atlantik Paktına alınıp alınmamamızı bir Doğu Akdeniz meselesi olarak görüyor",,SNS confirmed files OK 6/7/16
152/17,1951,6,20,Ulus,"4,5",Eyüboğlu'ların yeni sergisi,,SNS confirmed files OK 6/7/16
152/18,1951,7,1,Ulus,4,İngiltere Notlar: Londra ve Londralı,,SNS confirmed files OK 6/7/16
152/18,1951,7,4,Ulus,"4,7",İngiltere Notlar: Birahaneler,,SNS confirmed files OK 6/7/16
152/18,1951,7,5,Ulus,4,İngiltere notlar: Londra Tipleri,,SNS confirmed files OK 6/7/16
152/18,1951,7,7,Ulus,4,İngiltere Notlar: Londra'da İlgi Toplayan Tipler,,SNS confirmed files OK 6/7/16
152/18,1951,7,11,Ulus,"4,5",İngiltere Notlar: FESTİVAL,,SNS confirmed files OK 6/7/16
152/18,1951,7,14,Ulus,4,İngiltere Notlar: Sergiye ve eğlence bahsine dair,,SNS confirmed files OK 6/7/16
152/18,1951,7,23,Ulus,4,İngiltere Notlar: Yeni Bir Hamlet,,SNS confirmed files OK 6/7/16
152/18,1951,7,26,Ulus,4,İngiltere Notlar: Hürriyet,,SNS confirmed files OK 6/7/16
152/18,1951,8,2,Ulus,4,İngiltere Notlar: Basın,,SNS confirmed files OK 6/7/16
152/18,1951,8,8,Ulus,4,Tercüme Dergisi,,SNS confirmed files OK 6/7/16
